iso_time,elapsed_s,cross_section_m2,volume_flow_m3_s,volume_passed_m3,mass_flow_kg_s,mass_passed_kg,tonnes_per_hour,belt_speed_m_s,density_kg_m3,max_height_m,coal_width_m,beams_on_coal,beams_calibrated,confidence
2026-08-01T22:00:24.463,0.062,0.01163042988628149,0.017399275094136083,0.0,14.789383830015671,0.0,53.241781788056414,1.5,850.0,0.0577155277132988,0.5230607986450195,70,70,1.0
2026-08-01T22:00:24.669,0.268,0.011278164573013783,0.017315600297325227,0.004312506183274056,14.718260252726443,3.6656302557830713,52.985736909815195,1.5,850.0,0.05598441883921623,0.5230607986450195,70,70,1.0
2026-08-01T22:00:25.023,0.621,0.011594929732382298,0.017392394652761017,0.006863031289522814,14.783535454846865,5.833576596094645,53.22072763744871,1.5,850.0,0.05598441883921623,0.5230607986450195,70,70,1.0
2026-08-01T22:00:25.241,0.839,0.01129958312958479,0.016949375311924277,0.011213048149102622,14.406969015135635,9.531090926737534,51.86508845448829,1.5,850.0,0.05798383429646492,0.5230607986450195,70,70,1.0
2026-08-01T22:00:25.565,1.164,0.011521656066179276,0.017282484665481605,0.01366529446325715,14.690111965659364,11.615500293768946,52.88440307637371,1.5,850.0,0.05598441883921623,0.5230607986450195,70,70,1.0
2026-08-01T22:00:25.950,1.549,0.011499878019094467,0.01724981637422386,0.020441900936464474,14.662343918090283,17.375615795994918,52.78443810512502,1.5,850.0,0.05598441883921623,0.5230607986450195,70,70,1.0
2026-08-01T22:00:26.157,1.756,0.011704950593411922,0.017557425485274124,0.024812897759163954,14.923811662483006,21.090963095289453,53.72572198493882,1.5,850.0,0.05798383429646492,0.5230607986450195,70,70,1.0
2026-08-01T22:00:26.477,2.075,0.011515536345541477,0.01727330423293008,0.027148680324061925,14.68230859799057,23.076378275452726,52.85631095276605,1.5,850.0,0.05598441883921623,0.5230607986450195,70,70,1.0
2026-08-01T22:00:26.741,2.339,0.011572273448109627,0.01752695438373902,0.040685522636639826,14.897911226178168,34.58269424114428,53.63248041424141,1.5,850.0,0.05598441883921623,0.5230607986450195,70,70,1.0
2026-08-01T22:00:27.003,2.602,0.011782553046941757,0.017673301307325077,0.04532418447143871,15.022306111226316,38.52555680072328,54.08030200041474,1.5,850.0,0.059983253479003906,0.5230607986450195,70,70,0.8100840449333191
2026-08-01T22:00:27.301,2.9,0.011782201007008553,0.017672594560508743,0.047977971961022936,15.021705376432433,40.78127616686993,54.07813935515676,1.5,850.0,0.059983253479003906,0.5230607986450195,70,70,0.8100840449333191
2026-08-01T22:00:27.516,3.115,0.011781729757785797,0.017688732283582004,0.049860601426696904,15.035422441044703,42.38151121269266,54.127520787760936,1.5,850.0,0.059983253479003906,0.5230607986450195,70,70,1.0
2026-08-01T22:00:27.788,3.386,0.011662047356367111,0.017493071046536836,0.056728886559684,14.86911038955631,48.21955357573165,53.528797402402716,1.5,850.0,0.06198279187083244,0.5226791501045227,70,70,1.0
2026-08-01T22:00:28.041,3.64,0.011662047356367111,0.017493071046536836,0.056728886559684,14.86911038955631,48.21955357573165,53.528797402402716,1.5,850.0,0.06198279187083244,0.5226791501045227,70,70,1.0
2026-08-01T22:00:28.297,3.896,0.011516829021275043,0.017275243191795353,0.07019018525389442,14.68395671302605,59.661657465810094,52.86224416689378,1.5,850.0,0.05598441883921623,0.5226463675498962,70,70,1.0
2026-08-01T22:00:28.553,4.151,0.011197741143405437,0.016796611993127382,0.07253554657633088,14.277120194158275,61.6552145898811,51.397632698969794,1.5,850.0,0.05598441883921623,0.5230607986450195,70,70,1.0
2026-08-01T22:00:28.740,4.339,0.010839501395821571,0.01625925188758012,0.07638537971976822,13.820364104443101,64.92757276180282,49.75331077599517,1.5,850.0,0.05798383429646492,0.5230607986450195,70,70,1.0
2026-08-01T22:00:29.058,4.656,0.011629175394773483,0.017443762547643363,0.07920702676429836,14.827198165496858,67.32597274965337,53.37791339578869,1.5,850.0,0.059983253479003906,0.5230607986450195,70,70,1.0
2026-08-01T22:00:29.278,4.876,0.011629175394773483,0.017443762547643363,0.07920702676429836,14.827198165496858,67.32597274965337,53.37791339578869,1.5,850.0,0.059983253479003906,0.5230607986450195,70,70,1.0
2026-08-01T22:00:29.568,5.167,0.011668057180941105,0.01750208561390294,0.0815904782852852,14.876772771817498,69.35190654249232,53.556381978542994,1.5,850.0,0.06198279187083244,0.5230607986450195,70,70,1.0
2026-08-01T22:00:29.809,5.408,0.011919813230633736,0.020991127169538774,0.09309265801819633,17.842458094107958,79.1287593154666,64.23284913878865,1.5,850.0,0.05798383429646492,0.5226791501045227,70,70,1.0
2026-08-01T22:00:30.094,5.692,0.016909563913941383,0.02536434456065624,0.09986259755856164,21.559692876557804,84.88320792477703,77.6148943556081,1.5,850.0,0.06596074998378754,0.520988941192627,70,70,1.0
2026-08-01T22:00:30.391,5.99,0.027068238705396652,0.040602358884449755,0.10984115591351973,34.51200505178229,93.3649825264913,124.24321818641624,1.5,850.0,0.1019851490855217,0.5226463675498962,70,70,1.0
2026-08-01T22:00:30.648,6.247,0.009884295985102654,0.01482644391482359,0.11585009151111492,12.602477327600052,98.47257778444737,45.36891837936019,1.5,850.0,0.10393814742565155,0.4106398820877075,33,70,0.32268908619880676
2026-08-01T22:00:30.900,6.498,0.01887715607881546,0.02831573520755995,0.12522056073568755,24.068374926425957,106.43747662533383,86.64614973513345,1.5,850.0,0.09792040288448334,0.43495818972587585,51,70,0.6831932663917542
2026-08-01T22:00:31.226,6.824,0.01887715607881546,0.02831573520755995,0.12522056073568755,24.068374926425957,106.43747662533383,86.64614973513345,1.5,850.0,0.09792040288448334,0.4369652271270752,50,69,0.6831932663917542
2026-08-01T22:00:31.508,7.107,0.02432294934988022,0.03648442404215197,0.1306293036310886,31.011760435829174,111.0349080864246,111.64233756898503,1.5,850.0,0.1019851490855217,0.4369652271270752,50,69,0.8109243512153625
2026-08-01T22:00:31.822,7.421,0.02432294934988022,0.03648442404215197,0.1306293036310886,31.011760435829174,111.0349080864246,111.64233756898503,1.5,850.0,0.1019851490855217,0.4369652271270752,50,69,0.8109243512153625
2026-08-01T22:00:32.000,7.598,0.026283517479896545,0.03886208089507706,0.15639634367151212,33.0327687608155,132.9368921207847,118.9179675389358,1.5,850.0,0.10398483276367188,0.3706628680229187,46,67,0.9033613204956055
2026-08-01T22:00:32.310,7.908,0.025990871712565422,0.03898630637523272,0.1663235845264941,33.13836041894781,141.37504684751957,119.29809750821212,1.5,850.0,0.1019851490855217,0.4688575863838196,64,70,0.9033613204956055
2026-08-01T22:00:32.561,8.159,0.027008427307009697,0.040512639783899955,0.17719871342857663,34.43574381631496,150.61890641428977,123.96867773873386,1.5,850.0,0.1019851490855217,0.4688575863838196,64,70,0.9571428298950195
2026-08-01T22:00:32.925,8.524,0.02714347653090954,0.040715214304917584,0.18745163643027873,34.607932159179946,159.3338909657366,124.5885557730478,1.5,850.0,0.1019851490855217,0.490994393825531,66,69,0.9571428298950195
2026-08-01T22:00:33.126,8.724,0.026660002768039703,0.03999000314814476,0.20327829049089363,33.991502675923044,172.78654691725933,122.36940963332296,1.5,850.0,0.10398483276367188,0.490994393825531,67,70,0.9504201412200928
2026-08-01T22:00:33.365,8.963,0.027248874306678772,0.04087331239794148,0.2088580698595861,34.74231553825026,177.52935938064797,125.07233593770094,1.5,850.0,0.1019851490855217,0.490994393825531,67,70,0.9504201412200928
2026-08-01T22:00:33.545,9.144,0.02489176020026207,0.037337639487947716,0.21872840904913082,31.736993564755558,185.91914769176105,114.25317683312001,1.5,850.0,0.10398483276367188,0.490994393825531,67,70,0.8999999761581421
2026-08-01T22:00:33.826,9.425,0.023570723831653595,0.03535608493066747,0.23218260468304397,30.052672191067348,197.355213980587,108.18961988784245,1.5,850.0,0.10393814742565155,0.46242308616638184,62,69,0.8857142925262451
2026-08-01T22:00:34.053,9.651,0.023570723831653595,0.03535608493066747,0.23218260468304397,30.052672191067348,197.355213980587,108.18961988784245,1.5,850.0,0.10393814742565155,0.46242308616638184,62,69,0.8857142925262451
2026-08-01T22:00:34.396,9.994,0.023299379274249077,0.036507024184030734,0.2467731107917137,31.030970556426123,209.75714417295626,111.71149400313405,1.5,850.0,0.1019851490855217,0.5080622434616089,65,70,0.9285714030265808
2026-08-01T22:00:34.662,10.261,0.011480334214866161,0.017220501242100464,0.25353353197263684,14.637426055785394,215.50350217674077,52.69473380082742,1.5,850.0,0.09792040288448334,0.460996150970459,37,69,0.42605042457580566
2026-08-01T22:00:34.954,10.553,0.01057363674044609,0.01586045480276875,0.25832375776468774,13.481386582353437,219.57519409998417,48.53299169647237,1.5,850.0,0.08594883978366852,0.4172549545764923,41,70,0.5100840330123901
2026-08-01T22:00:35.274,10.873,0.003961185459047556,0.005941778069322822,0.26259359410823047,5.050511358924399,223.20455499199534,18.181840892127838,1.5,850.0,0.05760682001709938,0.4431406855583191,49,70,0.6521008610725403
2026-08-01T22:00:35.509,11.108,2.978878364956472e-05,4.4683174979789656e-05,0.262599890682516,0.03798069873282121,223.209907080138,0.13673051543815634,1.5,850.0,0.0019634896889328957,0.4431406855583191,49,70,0.5319327712059021
2026-08-01T22:00:35.733,11.331,7.529916911153123e-05,0.00011294874986403579,0.26262380464143287,0.09600643738443042,223.2302339452176,0.34562317458394953,1.5,850.0,0.001997280865907669,0.5249361395835876,44,70,1.0
2026-08-01T22:00:35.969,11.567,7.529916911153123e-05,0.00011294874986403579,0.26262380464143287,0.09600643738443042,223.2302339452176,0.34562317458394953,1.5,850.0,0.001997280865907669,0.5249361395835876,44,70,1.0
2026-08-01T22:00:36.261,11.859,2.9858516427339055e-05,4.478777371697887e-05,0.2626502676658038,0.03806960765943204,223.25272751593275,0.13705058757395536,1.5,850.0,0.001975294202566147,0.5249361395835876,70,70,1.0
2026-08-01T22:00:36.482,12.081,2.9858516427339055e-05,4.478777371697887e-05,0.2626502676658038,0.03806960765943204,223.25272751593275,0.13705058757395536,1.5,850.0,0.001975294202566147,0.5249361395835876,70,70,1.0
2026-08-01T22:00:36.722,12.32,2.9858516427339055e-05,4.478777371697887e-05,0.2626502676658038,0.03806960765943204,223.25272751593275,0.13705058757395536,1.5,850.0,0.001975294202566147,0.5249361395835876,70,70,1.0
2026-08-01T22:00:36.949,12.548,2.9846967663615942e-05,0.00015888494152581706,0.26277400034718235,0.1350522002969445,223.35790029510486,0.4861879210690002,1.5,850.0,0.0019715619273483753,0.5249361395835876,70,70,1.0
2026-08-01T22:00:37.236,12.835,2.9846967663615942e-05,0.00015888494152581706,0.26277400034718235,0.1350522002969445,223.35790029510486,0.4861879210690002,1.5,850.0,0.0019715619273483753,0.5249361395835876,70,70,1.0
2026-08-01T22:00:37.544,13.143,7.532040035584942e-05,0.00011298060231238251,0.2628287278262007,0.09603351196552513,223.40441865227035,0.3457206430758905,1.5,850.0,0.0019915143493562937,0.5253505706787109,67,70,0.9008403420448303
2026-08-01T22:00:37.875,13.473,7.532040035584942e-05,0.00011298060231238251,0.2628287278262007,0.09603351196552513,223.40441865227035,0.3457206430758905,1.5,850.0,0.0019915143493562937,0.5249361395835876,67,70,0.9008403420448303
2026-08-01T22:00:38.200,13.799,6.02752625127323e-05,9.041289154973455e-05,0.26285347087334565,0.07685095781727437,223.42545024234346,0.27666344814218774,1.5,850.0,0.001990166027098894,0.5249361395835876,67,70,1.0
2026-08-01T22:00:38.635,14.233,7.494835153920576e-05,0.00011242252384100504,0.2628693397622759,0.09555914526485429,223.43893879793427,0.34401292295347546,1.5,850.0,0.001990166027098894,0.5249361395835876,67,70,1.0
2026-08-01T22:00:38.874,14.473,7.494835153920576e-05,0.00011242252384100504,0.2628693397622759,0.09555914526485429,223.43893879793427,0.34401292295347546,1.5,850.0,0.001990166027098894,0.5249361395835876,67,70,1.0
2026-08-01T22:00:39.250,14.848,8.269304817076772e-05,0.00012403956890415203,0.2628994512614058,0.10543363356852922,223.46453357219457,0.3795610808467052,1.5,850.0,0.001995185622945428,0.5249361395835876,67,70,1.0
2026-08-01T22:00:39.498,15.096,8.269304817076772e-05,0.00012403956890415203,0.2628994512614058,0.10543363356852922,223.46453357219457,0.3795610808467052,1.5,850.0,0.001995185622945428,0.5249361395835876,67,70,1.0
2026-08-01T22:00:39.720,15.319,8.269304817076772e-05,0.00012403956890415203,0.2628994512614058,0.10543363356852922,223.46453357219457,0.3795610808467052,1.5,850.0,0.001995185622945428,0.5249361395835876,67,70,1.0
2026-08-01T22:00:40.031,15.63,0.0001667303586145863,0.00025009554345569753,0.26302319181216305,0.2125812119373429,223.56971304033846,0.7652923629744344,1.5,850.0,0.001997280865907669,0.5249361395835876,67,70,1.0
2026-08-01T22:00:40.292,15.89,0.00010567384015303105,0.00015851075523778605,0.2630555686862941,0.13473414195211814,223.59723338334993,0.4850429110276253,1.5,850.0,0.001997280865907669,0.5249361395835876,67,70,1.0
2026-08-01T22:00:40.519,16.118,7.611779437866062e-05,0.0001141766965097747,0.263112699690357,0.0970501920333085,223.64579473680328,0.3493806913199106,1.5,850.0,0.001990166027098894,0.5249361395835876,67,70,1.0
